time,latitude,longitude,depth,mag,place
2023-02-20T19:46:49.590Z,38.7560005,-122.7241669,0.85,0.74,"4km SW of Anderson Springs, CA"
2023-02-20T19:33:38.910Z,17.9535,-66.94933333,10.68,2.3,"4 km WSW of Guánica, Puerto Rico"
2023-02-20T19:31:09.930Z,38.7906685,-122.7841644,3.75,0.73,"3km WNW of The Geysers, CA"
2023-02-20T19:29:59.200Z,38.7905006,-122.7809982,3.52,0.75,"3km NW of The Geysers, CA"
2023-02-20T19:19:22.838Z,4.5817,-82.8567,10,4.9,south of Panama
2023-02-20T19:18:43.587Z,61.1062,-152.1645,96.5,1.7,"55 km W of Tyonek, Alaska"
2023-02-20T19:11:33.850Z,34.0208333,-116.9321667,5.34,0.81,"10km E of Yucaipa, CA"
2023-02-20T19:09:21.462Z,36.2966,36.1291,10,4.1,Turkey-Syria border region
2023-02-20T19:07:04.132Z,56.8644,-158.1979,0.9,1,"27 km ESE of Port Heiden, Alaska"
2023-02-20T19:00:14.022Z,36.067,35.9856,10,4.2,"9 km SSW of Uzunbağ, Turkey"
2023-02-20T18:53:48.550Z,36.0321667,-117.8133333,1.09,0.98,"12km E of Coso Junction, CA"
2023-02-20T18:50:41.910Z,38.7803345,-122.7204971,2.67,1.53,"2km WNW of Anderson Springs, CA"
2023-02-20T18:45:29.350Z,34.3125,-116.4311667,6.47,1.5,"22km N of Yucca Valley, CA"
2023-02-20T18:43:33.951Z,61.9043,-151.3349,81.1,1.9,"10 km SSE of Skwentna, Alaska"
2023-02-20T18:42:29.241Z,51.8765,178.087,154.978,4.1,"Rat Islands, Aleutian Islands, Alaska"
2023-02-20T18:41:04.970Z,38.784832,-122.7238312,1.54,0.79,"3km ENE of The Geysers, CA"
2023-02-20T18:40:47.943Z,61.6268,-146.3876,24.8,2,"45 km SSE of Nelchina, Alaska"
2023-02-20T18:36:40.890Z,34.1186676,-118.1673355,10.59,1.57,"2km W of South Pasadena, CA"
2023-02-20T18:16:23.570Z,19.22166634,-155.3718262,33.75999832,1.85000002,"11 km E of Pāhala, Hawaii"
2023-02-20T18:00:54.270Z,38.7986679,-122.7890015,-0.17,0.75,"4km NW of The Geysers, CA"
2023-02-20T17:56:59.398Z,62.6312,-149.6766,68.1,1.6,"29 km NE of Chase, Alaska"
2023-02-20T17:55:39.240Z,38.8221664,-122.8095016,2.75,1.08,"7km NW of The Geysers, CA"
2023-02-20T17:53:33.971Z,-9.8286,160.2368,11.992,5.1,"53 km SE of Honiara, Solomon Islands"
2023-02-20T17:52:29.784Z,62.6598,-151.2469,87.9,2.1,"30 km NW of Petersville, Alaska"
2023-02-20T17:47:51.730Z,32.934,-116.2223333,9.18,1.33,"25km SSW of Ocotillo Wells, CA"
2023-02-20T17:47:46.336Z,17.6339,145.5206,336.653,4.5,"Alamagan region, Northern Mariana Islands"
2023-02-20T17:13:53.390Z,38.833168,-122.8151703,1.69,1.03,"8km NW of The Geysers, CA"
2023-02-20T17:09:46.950Z,33.3818333,-116.8728333,3.28,1.49,"3km NNW of Palomar Observatory, CA"
2023-02-20T17:04:29.441Z,36.1094,36.0165,16,6.3,"3 km SSW of Uzunbağ, Turkey"
2023-02-20T17:00:20.090Z,19.19483376,-155.386673,29.04000092,2.43,"9 km E of Pāhala, Hawaii"
2023-02-20T16:50:27.907Z,60.2627,-152.8982,138.5,2.4,"72 km WNW of Ninilchik, Alaska"
2023-02-20T16:40:47.930Z,19.25716591,-155.3970032,32.29000092,2.35,"10 km NE of Pāhala, Hawaii"
2023-02-20T16:36:32.960Z,19.25016594,-155.4386597,31.29000092,2.24000001,"6 km NE of Pāhala, Hawaii"
2023-02-20T16:29:58.891Z,63.0229,-150.6387,111.4,1.6,"59 km N of Petersville, Alaska"
2023-02-20T16:22:11.920Z,18.3275,-67.251,15.47,2.87,"0 km NW of Stella, Puerto Rico"
2023-02-20T16:17:59.140Z,19.23566628,-155.4468384,29.17000008,2.03999996,"4 km NE of Pāhala, Hawaii"
2023-02-20T16:14:02.362Z,61.3423,-147.7976,0,1.5,"52 km S of Glacier View, Alaska"
2023-02-20T15:58:02.862Z,-20.7666,-67.9306,176.616,4,"116 km WSW of Colchani, Bolivia"
2023-02-20T15:57:41.220Z,32.9671667,-115.5361667,6.26,1.72,"1km SSW of Brawley, CA"
2023-02-20T15:50:14.150Z,33.2668333,-116.3061667,9.65,1.01,"6km E of Borrego Springs, CA"
2023-02-20T15:39:40.533Z,60.3911,-152.6681,87.5,1.7,Southern Alaska
2023-02-20T15:36:32.183Z,61.9231,-149.4884,39.2,1.6,"23 km NW of Fishhook, Alaska"
2023-02-20T15:17:05.170Z,38.7563324,-122.7265015,1.05,1.62,"4km SE of The Geysers, CA"
2023-02-20T15:07:01.992Z,61.5276,-140.7303,12,2.1,"Southern Yukon Territory, Canada"
2023-02-20T15:01:41.005Z,57.0044,-153.9982,0,2.8,"12 km ENE of Akhiok, Alaska"
2023-02-20T14:53:17.300Z,36.0048332,-120.5786667,8.18,0.5,"18km NW of Parkfield, CA"
2023-02-20T14:53:07.742Z,61.515,-140.7064,8.577,2.6,"118 km E of McCarthy, Alaska"
2023-02-20T14:51:57.820Z,38.8003349,-122.8168335,3.09,0.75,"6km WNW of The Geysers, CA"
2023-02-20T14:46:54.220Z,18.03133333,-66.78566667,16.73,2.16,"1 km NNE of Guayanilla, Puerto Rico"
2023-02-20T14:35:28.780Z,38.8196678,-122.7843323,1.88,1.05,"5km NNW of The Geysers, CA"
2023-02-20T14:25:44.770Z,19.2436676,-155.4371643,31.62999916,1.98000002,"6 km NE of Pāhala, Hawaii"
2023-02-20T14:24:35.410Z,33.3836667,-117.088,0.29,1.27,"2km NNW of Pala, CA"
2023-02-20T14:13:12.256Z,-23.4178,-69.1114,103.452,4.1,"108 km S of Calama, Chile"
2023-02-20T14:06:18.870Z,19.19449997,-155.4519958,31.36000061,2.23000002,"2 km ESE of Pāhala, Hawaii"
2023-02-20T13:48:19.770Z,39.1476669,-123.2633362,1.87,2.3,"5km W of Ukiah, CA"
2023-02-20T13:39:09.280Z,38.8266678,-122.8144989,2.03,0.75,"7km NW of The Geysers, CA"
2023-02-20T13:32:36.590Z,19.18283272,-155.5091705,33.59999847,2.16,"Island of Hawaii, Hawaii"
2023-02-20T13:32:07.520Z,59.8406,-153.4725,134,2.4,"36 km E of Pedro Bay, Alaska"
2023-02-20T13:30:25.360Z,19.17516708,-155.5036621,35.70000076,1.73000002,"Island of Hawaii, Hawaii"
2023-02-20T13:22:03.100Z,38.8354988,-122.8013306,2.32,0.41,"7km WNW of Cobb, CA"
2023-02-20T13:16:44.434Z,66.2541,-146.7987,0,1.5,"29 km ESE of Beaver, Alaska"
2023-02-20T12:24:20.520Z,35.6635,-117.4988333,0.92,0.84,"14km SW of Searles Valley, CA"
2023-02-20T12:21:51.267Z,-18.2777,-178.0312,561.902,4.4,Fiji region
2023-02-20T12:18:51.060Z,33.8871667,-116.903,12.08,0.78,"5km SSW of Banning, CA"
2023-02-20T12:06:57.860Z,38.8308334,-122.8161697,1.41,1.02,"8km NW of The Geysers, CA"
2023-02-20T11:56:22.540Z,33.4653333,-116.5698333,9.3,0.84,"14km SE of Anza, CA"
2023-02-20T11:54:08.063Z,62.9465,-150.8261,73.3,1.8,"50 km N of Petersville, Alaska"
2023-02-20T11:39:20.940Z,18.01116667,-66.971,6.81,1.99,"4 km SW of Liborio Negron Torres, Puerto Rico"
2023-02-20T11:23:24.690Z,35.1876678,-120.729332,3.89,1.54,"1km NNE of Avila Beach, CA"
2023-02-20T11:16:53.030Z,17.973,-66.87666667,18.62,1.9,Puerto Rico region
2023-02-20T11:15:54.775Z,64.8951,-147.2425,15.7,0.7,"10 km WNW of Two Rivers, Alaska"
2023-02-20T11:15:15.835Z,-3.8836,133.4364,10,4.3,"Papua, Indonesia"
2023-02-20T11:10:39.021Z,60.9092,-151.3226,89.7,1.4,"20 km SSW of Tyonek, Alaska"
2023-02-20T11:03:51.750Z,36.020668,-120.9690018,5.73,1.48,"6km W of San Ardo, CA"
2023-02-20T10:50:10.340Z,18.84933333,-67.30566667,10.4,2.93,"45 km NNW of San Antonio, Puerto Rico"
2023-02-20T10:49:32.690Z,33.6521667,-116.7815,15.35,0.81,"11km SSW of Idyllwild, CA"
2023-02-20T10:46:05.133Z,60.1013,-151.2232,23.1,1.5,"17 km SSE of Clam Gulch, Alaska"
2023-02-20T10:43:34.570Z,38.7751656,-122.7296677,1.35,1.05,"2km E of The Geysers, CA"
2023-02-20T10:42:06.560Z,35.1866684,-120.7306671,4.43,1.58,"1km N of Avila Beach, CA"
2023-02-20T10:41:29.740Z,35.1855011,-120.7314987,4.85,2.04,"1km N of Avila Beach, CA"
2023-02-20T10:26:11.970Z,34.3005,-117.0318333,8.97,1.66,"12km NE of Running Springs, CA"
2023-02-20T10:13:22.640Z,33.2986667,-116.771,12.15,0.87,"6km N of Lake Henshaw, CA"
2023-02-20T10:02:44.738Z,60.3705,-153.1793,152.3,2.2,"65 km ENE of Port Alsworth, Alaska"
2023-02-20T09:51:51.530Z,38.8224983,-122.8041687,1.76,1.22,"6km NW of The Geysers, CA"
2023-02-20T09:50:54.240Z,17.92916667,-66.98,7.95,2.42,"8 km SE of La Parguera, Puerto Rico"
2023-02-20T09:48:03.261Z,61.6342,-151.0368,0,1.5,"29 km WNW of Susitna, Alaska"
2023-02-20T09:47:26.864Z,3.3125,123.9156,410.778,4.6,"227 km NNW of Manado, Indonesia"
2023-02-20T09:42:35.240Z,32.9165,-115.5318333,5.01,1.3,"7km S of Brawley, CA"
2023-02-20T09:40:50.810Z,33.4665,-116.5598333,8.17,0.4,"14km SE of Anza, CA"
2023-02-20T09:40:16.462Z,61.3552,-147.3324,33.3,1.2,"53 km SSE of Glacier View, Alaska"
2023-02-20T09:36:58.596Z,63.5537,-157.838,10.9,2.9,"96 km SSE of Kaltag, Alaska"
2023-02-20T09:29:40.410Z,38.8271675,-122.8544998,1.99,0.62,"10km WNW of The Geysers, CA"
2023-02-20T09:28:32.600Z,38.8221664,-122.8048325,3.03,0.75,"6km NW of The Geysers, CA"
2023-02-20T09:17:24.280Z,38.8351669,-122.8073349,2.21,0.43,"7km WNW of Cobb, CA"
2023-02-20T09:15:40.750Z,38.8348351,-122.8093338,2.44,0.76,"8km W of Cobb, CA"
2023-02-20T09:11:18.820Z,38.8351669,-122.8089981,2.25,0.7,"8km W of Cobb, CA"
2023-02-20T09:08:36.029Z,48.74,-128.9566,10,4.1,"228 km WSW of Tofino, Canada"
2023-02-20T08:54:05.870Z,33.2481667,-116.2526667,9.58,1.21,"11km E of Borrego Springs, CA"
2023-02-20T08:51:57.120Z,38.8339996,-122.8156662,1.81,0.42,"8km W of Cobb, CA"
2023-02-20T08:46:19.718Z,-24.3502,179.9311,509.049,4.5,south of the Fiji Islands
2023-02-20T08:45:43.140Z,38.8341675,-122.8044968,1.73,1.07,"7km W of Cobb, CA"
2023-02-20T08:45:23.470Z,19.16483307,-155.480835,35.31000137,2.11999989,"4 km S of Pāhala, Hawaii"
2023-02-20T08:41:53.147Z,63.2565,-150.4846,111,1.5,"69 km ESE of Denali National Park, Alaska"
2023-02-20T08:27:24.320Z,38.831665,-122.814003,2.04,1.54,"8km NW of The Geysers, CA"
2023-02-20T08:18:56.280Z,36.9393349,-121.670166,7.53,1.14,"6km ESE of Interlaken, CA"
2023-02-20T07:33:28.160Z,19.1685009,-155.4813385,33.18999863,1.94000006,"3 km S of Pāhala, Hawaii"
2023-02-20T07:33:01.033Z,63.2736,-151.0691,1.3,1.8,"44 km SE of Denali National Park, Alaska"
2023-02-20T07:24:41.972Z,61.7528,-147.3702,33,1.7,"16 km ESE of Glacier View, Alaska"
2023-02-20T07:13:47.280Z,19.32749939,-155.1304932,6.449999809,2.72,"15 km S of Fern Forest, Hawaii"
2023-02-20T07:05:41.880Z,38.7963333,-122.7665024,1.11,1.27,"2km NNW of The Geysers, CA"
2023-02-20T07:02:15.256Z,64.7314,-147.9516,9.6,1.2,"11 km SW of South Van Horn, Alaska"
2023-02-20T06:59:45.150Z,36.9365005,-121.6673355,7.95,1.45,"6km NNW of Aromas, CA"
2023-02-20T06:56:55.146Z,63.358,-149.6803,105.6,1.8,"36 km W of Cantwell, Alaska"
2023-02-20T06:54:59.630Z,35.8813333,-117.694,2.23,0.86,"20km ESE of Little Lake, CA"
2023-02-20T06:30:27.760Z,18.08583333,-66.9715,22.96,2.7,"1 km NW of Sabana Grande, Puerto Rico"
2023-02-20T06:30:03.940Z,32.915,-116.2386667,10.37,0.65,"27km SSW of Ocotillo Wells, CA"
2023-02-20T06:26:54.024Z,61.3572,-150.9999,35.3,1.7,"24 km N of Beluga, Alaska"
2023-02-20T06:22:35.730Z,32.9676667,-116.6983333,4.79,1.65,"9km ESE of San Diego Country Estates, CA"
2023-02-20T06:05:17.802Z,56.9557,-157.7352,122,2,"54 km E of Port Heiden, Alaska"
2023-02-20T06:03:28.350Z,18.24666667,-67.84216667,105.07,3.39,"63 km W of Rincón, Puerto Rico"
2023-02-20T05:58:23.730Z,60.2094,-153.055,124.4,2.2,"69 km E of Port Alsworth, Alaska"
2023-02-20T05:42:41.910Z,17.93383333,-66.8435,12.1,2.56,Puerto Rico region
2023-02-20T05:35:18.210Z,33.9726667,-116.852,15.92,0.95,"6km NNE of Banning, CA"
2023-02-20T05:34:16.295Z,58.93,-154.5287,130,4.2,"58 km SSE of Kokhanok, Alaska"
2023-02-20T05:10:16.570Z,33.499,-116.4955,11.18,0.66,"18km ESE of Anza, CA"
2023-02-20T05:02:30.660Z,33.1656667,-115.648,2.52,1.49,"13km WNW of Calipatria, CA"
2023-02-20T05:01:53.770Z,33.1736667,-115.648,2.12,1.2,"14km WNW of Calipatria, CA"
2023-02-20T04:57:45.130Z,38.8216667,-122.7866669,1.75,1.53,"6km W of Cobb, CA"
2023-02-20T04:45:29.480Z,19.14999962,-155.3913269,30.11000061,1.71000004,"10 km ESE of Pāhala, Hawaii"
2023-02-20T04:40:50.420Z,33.9183333,-116.9076667,10.22,0.67,"3km WSW of Banning, CA"
2023-02-20T04:38:37.520Z,34.0286667,-116.7238333,19.59,0.98,"13km W of Morongo Valley, CA"
2023-02-20T04:37:25.770Z,38.7949982,-122.7481689,2.22,1.08,"2km NNE of The Geysers, CA"
2023-02-20T04:27:33.300Z,31.7785,-115.5696667,17.82,2.61,"63km SW of Alberto Oviedo Mota, B.C., MX"
2023-02-20T04:25:36.900Z,60.4419,-151.7467,72.1,1.5,"25 km W of Kalifornsky, Alaska"
2023-02-20T04:12:54.234Z,59.4906,-152.7897,62.2,1.7,"51 km WNW of Nanwalek, Alaska"
2023-02-20T04:09:18.270Z,38.786335,-122.734169,1.53,1.05,"2km ENE of The Geysers, CA"
2023-02-20T04:09:17.600Z,63.1808,-151.3395,0,2.3,"44 km SSE of Denali National Park, Alaska"
2023-02-20T04:05:03.974Z,-22.4556,-174.2759,10,5.1,"142 km SSE of ‘Ohonua, Tonga"
2023-02-20T04:02:50.388Z,62.8689,-150.782,85.7,1.5,"41 km N of Petersville, Alaska"
2023-02-20T03:57:15.050Z,36.09916667,-89.76283333,7.65,2.01,Missouri
2023-02-20T03:45:38.572Z,38.6708,39.9482,7.526,4.3,"3 km SE of Palu, Turkey"
2023-02-20T03:39:29.300Z,34.26,-116.4451667,8.04,1.74,"16km N of Yucca Valley, CA"
2023-02-20T03:39:00.060Z,34.0528333,-118.165,3.44,0.83,"2km N of East Los Angeles, CA"
2023-02-20T03:34:11.430Z,33.4911667,-116.4568333,12.34,0.76,"21km ESE of Anza, CA"
2023-02-20T03:30:23.570Z,38.7804985,-122.7666702,1.05,0.71,"1km WNW of The Geysers, CA"
2023-02-20T03:16:49.780Z,33.2441667,-115.7846667,3.09,1.76,"13km SSW of Bombay Beach, CA"
2023-02-20T03:16:24.900Z,33.2461667,-115.788,2.76,1.43,"13km SSW of Bombay Beach, CA"
2023-02-20T03:09:47.719Z,15.2128,122.8285,10,5,"73 km NE of Casuguran, Philippines"
2023-02-20T03:08:45.005Z,59.8436,-152.9342,91.8,1.4,"62 km W of Anchor Point, Alaska"
2023-02-20T03:07:29.481Z,-5.405,150.9071,96.501,4.3,"86 km E of Kimbe, Papua New Guinea"
2023-02-20T02:53:49.998Z,58.2251,-154.5911,10.6,1.1,"73 km N of Karluk, Alaska"
2023-02-20T02:39:52.298Z,58.1628,-155.3267,10,0.9,"83 km NW of Karluk, Alaska"
2023-02-20T02:31:11.290Z,33.7751667,-116.931,11.5,2.17,"3km ESE of San Jacinto, CA"
2023-02-20T02:17:56.280Z,33.7006667,-117.6213333,8.22,1.49,"4km ENE of Foothill Ranch, CA"
2023-02-20T02:17:35.059Z,32.75299072,-100.6551305,7.947794596,2.7,"16 km NE of Hermleigh, Texas"
2023-02-20T02:08:02.800Z,38.8294983,-122.8153305,2.32,0.48,"8km NW of The Geysers, CA"
2023-02-20T02:07:47.061Z,62.5345,-149.1794,48.7,1.4,"48 km E of Chase, Alaska"
2023-02-20T01:53:38.510Z,38.8231659,-122.8539963,2.69,0.62,"10km WNW of The Geysers, CA"
2023-02-20T01:48:59.785Z,37.9658,36.8106,10,4.3,"28 km ESE of Göksun, Turkey"
2023-02-20T01:42:47.730Z,34.0121667,-117.1788333,14.69,1.54,"5km S of Redlands, CA"
2023-02-20T01:41:57.960Z,33.9101667,-117.3011667,0.71,1.08,"4km WNW of March Air Reserve Base, CA"
2023-02-20T01:41:52.890Z,34.0128333,-117.1786667,14.26,1.27,"5km S of Redlands, CA"
2023-02-20T01:33:29.285Z,1.8963,96.6097,21.712,4.9,"Nias region, Indonesia"
2023-02-20T01:27:46.790Z,38.8373337,-122.836998,1.59,0.31,"10km NW of The Geysers, CA"
2023-02-20T01:18:13.825Z,65.009,-147.3715,14.7,0.7,"12 km ENE of Fox, Alaska"
2023-02-20T01:16:34.320Z,33.8673333,-117.2615,0.48,1.09,"3km S of March Air Reserve Base, CA"
2023-02-20T01:16:24.010Z,34.1075,-117.3196667,16.47,1.16,"4km SW of San Bernardino, CA"
2023-02-20T01:11:16.973Z,38.6742,14.1556,10,4.5,"59 km WNW of Leni, Italy"
2023-02-20T01:07:38.336Z,38.6477,40.0047,11.378,4.4,"8 km ESE of Palu, Turkey"
2023-02-20T01:05:05.813Z,31.60008645,-104.1938694,6.542895508,2,"49 km NW of Toyah, Texas"
2023-02-20T01:01:50.883Z,62.987,-149.4683,60.8,1.5,"52 km SSW of Cantwell, Alaska"
2023-02-20T00:58:49.293Z,38.668,39.9382,14.809,4.2,"3 km SSE of Palu, Turkey"
2023-02-20T00:41:23.520Z,35.0255,-117.665,0.32,1.51,"3km NNW of Boron, CA"
2023-02-20T00:39:03.271Z,38.691,39.978,10,4.5,"5 km E of Palu, Turkey"
2023-02-20T00:37:30.257Z,38.6413,39.9166,10,4.7,"5 km S of Palu, Turkey"
2023-02-20T00:30:48.646Z,64.9375,-148.9498,18.5,0.9,"30 km SE of Minto, Alaska"
2023-02-20T00:28:09.850Z,17.99333333,-67.02283333,10.13,2.58,"3 km NE of La Parguera, Puerto Rico"
2023-02-20T00:21:12.947Z,31.59995248,-104.2640637,7.442675781,2.1,"54 km NW of Toyah, Texas"
2023-02-20T00:20:02.620Z,33.0448333,-116.384,12.81,1.06,"21km E of Julian, CA"
2023-02-20T00:11:32.450Z,19.0953331,-155.4123383,28.98999977,1.98000002,"Hawaii region, Hawaii"
2023-02-20T00:10:11.485Z,62.0261,-150.1666,16.6,1.3,"22 km SW of Susitna North, Alaska"
2023-02-20T00:01:18.919Z,2.7272,126.9831,35,4.7,"158 km NW of Tobelo, Indonesia"
